layer,component,mean_ot_recovery,median_ot_recovery,mean_ot_displacement,mean_marg_recovery,mean_w1_v_recovery,valid_pairs,model_name
0,mlp,1.6349890972337042,0.0,0.2120307650144254,1.7674556641098995,0.7969707464419727,13,Qwen/Qwen2.5-1.5B-Instruct
0,attn,-19.02354201437997,0.0,0.27859410842556664,-19.301629949750108,-7.939341075931459,13,Qwen/Qwen2.5-1.5B-Instruct
0,resid,-20.14050026471136,0.0,0.28121881083296696,-20.455926141097567,-10.408163498452344,13,Qwen/Qwen2.5-1.5B-Instruct
1,mlp,-2.968514024146866,0.0,0.20348150750846308,-2.9300599935469793,-1.2848351230097381,13,Qwen/Qwen2.5-1.5B-Instruct
1,attn,-4.9709877493947285,0.0,0.20805787197346298,-4.9221326830042464,0.004906210713046482,13,Qwen/Qwen2.5-1.5B-Instruct
1,resid,-14.172865941395013,0.0,0.2676879137343874,-14.526052373345205,-13.834876025430901,13,Qwen/Qwen2.5-1.5B-Instruct
2,mlp,-2.1345421613225612,0.0,0.20305011363972347,-2.0723508061953244,-1.1765874925737136,13,Qwen/Qwen2.5-1.5B-Instruct
2,attn,-3.9013780198776744,0.0,0.20933440384273252,-3.9070099147023445,-0.45731342869596014,13,Qwen/Qwen2.5-1.5B-Instruct
2,resid,-15.007568876633941,0.0,0.2683034744852954,-15.424623549918154,-16.360169697366178,13,Qwen/Qwen2.5-1.5B-Instruct
3,mlp,-3.5707524416388665,0.0,0.21147123318365676,-3.4870641590809326,-1.326936054342616,13,Qwen/Qwen2.5-1.5B-Instruct
3,attn,-0.2443676581511439,0.0,0.2010928093104573,-0.1273105325104743,-0.418592936654514,13,Qwen/Qwen2.5-1.5B-Instruct
3,resid,-27.251407951787186,0.0,0.28297464004511974,-27.706057484845253,-40.81722204006338,13,Qwen/Qwen2.5-1.5B-Instruct
4,mlp,-0.8077726657966219,0.0,0.20922101554867373,-0.721663949322511,-0.2988049174242386,13,Qwen/Qwen2.5-1.5B-Instruct
4,attn,-1.2197129782808966,0.0,0.20106339698121195,-1.1768445449745313,-1.021727236237633,13,Qwen/Qwen2.5-1.5B-Instruct
4,resid,-23.845364397332506,0.0,0.2807663296540541,-24.270655152330857,-33.52225816676194,13,Qwen/Qwen2.5-1.5B-Instruct
5,mlp,-1.9628627834769212,0.0,0.20325777009092202,-1.9507289816682039,-0.17349628072276954,13,Qwen/Qwen2.5-1.5B-Instruct
5,attn,-0.8829420769944418,0.0,0.20008851730604285,-0.8316979301034597,-0.6821534734728544,13,Qwen/Qwen2.5-1.5B-Instruct
5,resid,-18.03749723995491,0.0,0.27045424508140015,-18.498222156234544,-19.173803373682333,13,Qwen/Qwen2.5-1.5B-Instruct
6,mlp,0.4640320168223748,0.0,0.20510826817073385,0.5804609865430539,0.7958926100878924,13,Qwen/Qwen2.5-1.5B-Instruct
6,attn,-2.337766863726504,0.0,0.20613448737474968,-2.253119040738092,-0.8760497148500912,13,Qwen/Qwen2.5-1.5B-Instruct
6,resid,-18.823373098615345,0.0,0.2714534851806357,-19.260176145387824,-29.141889451924307,13,Qwen/Qwen2.5-1.5B-Instruct
7,mlp,-2.6785762731417537,0.0,0.21327480043647506,-2.637183580146283,-0.7703682109245517,13,Qwen/Qwen2.5-1.5B-Instruct
7,attn,-2.047757896243748,0.0,0.20318973383776456,-2.0138023496869084,0.3832632433259153,13,Qwen/Qwen2.5-1.5B-Instruct
7,resid,-8.481391430409046,0.0,0.24406624914145061,-8.926642244364812,-2.156953753679803,13,Qwen/Qwen2.5-1.5B-Instruct
8,mlp,-3.528765840485849,0.0,0.20609649199867072,-3.4347216069523228,0.9031012045196275,13,Qwen/Qwen2.5-1.5B-Instruct
8,attn,-1.3434322193427746,0.0,0.20163681779857776,-1.3020173368711734,-0.16980308845548506,13,Qwen/Qwen2.5-1.5B-Instruct
8,resid,-12.631892896842094,0.0,0.24456981369540728,-13.247193595921683,-1.7808136030426926,13,Qwen/Qwen2.5-1.5B-Instruct
9,mlp,-1.3682924948911264,0.0,0.21162926304557092,-1.1955448181880777,-1.7150851465919346,13,Qwen/Qwen2.5-1.5B-Instruct
9,attn,-0.3036679183869295,0.0,0.19676875131732793,-0.27474367306960046,-1.0942508251405425,13,Qwen/Qwen2.5-1.5B-Instruct
9,resid,-15.09183006944666,0.0,0.24108892306406016,-15.74440894178822,1.9742458674010346,13,Qwen/Qwen2.5-1.5B-Instruct
10,mlp,2.2803761729876424,0.0,0.20199642041806512,2.3963915695736295,1.8898673260080292,13,Qwen/Qwen2.5-1.5B-Instruct
10,attn,3.7317961186499558,0.0,0.19381702189393651,3.8505214335800684,3.079973174417464,13,Qwen/Qwen2.5-1.5B-Instruct
