layer,component,total_pairs,valid_pairs_prompt,prompt_mean_ot_recovery,prompt_median_ot_recovery,valid_pairs_gen,gen_mean_ot_recovery,gen_median_ot_recovery,gen_iqr_25,gen_iqr_75,gen_positive_fraction
10,mlp,39,32,-0.10473139770750574,-0.32834776196228876,39,-0.13106729940575867,2.218640989261267,-4.650977669361422,5.290297233664049,56.41025641025641
10,attn,39,32,0.07058565529058855,0.11027469268312662,39,0.6800858369222267,1.4381358215984852,-2.4991771426875142,3.793661079084404,61.53846153846154
10,resid,39,32,-0.5370688725600047,-0.6088638231155796,39,-1.2943405738915588,1.1376422436540579,-2.5657468582236387,4.454110903165209,53.84615384615385
14,mlp,39,32,1.0817530219574372,1.0655621905775015,39,-1.479327236123051,-0.5197482104514428,-5.067287415838095,2.6342104007446467,46.15384615384615
14,attn,39,32,0.17196244866884008,0.19027324894758668,39,-1.046662754189546,0.1884007415397737,-3.1847755678230394,3.532299133047462,51.28205128205128
14,resid,39,32,0.6772942406146447,0.8061648970145163,39,0.09213431826342429,1.8454305581363961,-5.54707248216002,5.826746945924633,58.97435897435898
15,mlp,39,32,0.05559719122539726,0.07223689458715765,39,1.3947743777049215,0.49629996863433945,-4.169487724952292,3.9247064831005094,56.41025641025641
15,attn,39,32,-0.7161512706991228,-0.5524523303065187,39,2.9273651543133923,5.892563743081758,-4.495177697447672,13.586934522797478,69.23076923076923
15,resid,39,32,0.021509927582161886,0.022997983922229404,39,7.374366134940352,10.796900387616015,-0.9433654348752707,16.580295427854587,74.35897435897436
18,mlp,39,32,0.2879296179833138,-0.2369771424872824,39,7.398692360249003,6.815051519377102,1.9297003261462775,15.678405325470763,82.05128205128204
18,attn,39,32,0.5009719298196852,0.1311072063529095,39,-7.742354372227273,-6.2569351343009005,-12.999959208418478,-0.33463081669275474,25.64102564102564
18,resid,39,32,0.4206233959864636,0.05172679591440854,39,41.48268312266434,48.456566101980215,30.235124612047915,56.42096282264231,92.3076923076923
20,mlp,39,32,0.4739779638115261,0.22511649605405082,39,9.56530848990204,13.530863518116876,1.9021680496202065,21.919236079989897,82.05128205128204
20,attn,39,32,0.27158300917841316,0.4826708419065462,39,1.0142328369306415,0.3004301598185988,-6.319778635772244,5.006983711809493,53.84615384615385
20,resid,39,32,0.6290646129728912,0.1440960158126503,39,50.21625725085763,57.93148598201869,34.29337998718027,66.15635520955286,97.43589743589743
24,mlp,39,32,-0.20030394056850842,-0.13551105606113278,39,15.227293142542294,18.67892889244056,7.837138716804032,25.25336202227378,87.17948717948718
24,attn,39,32,0.06167411800180392,-0.005970503392588311,39,-0.06688634040343754,0.47753592731790695,-0.8888482536804077,2.124242757818684,66.66666666666666
24,resid,39,32,0.200499258437737,0.015104813154231955,39,53.48350777601879,59.44330174284185,39.90691531078127,70.94904726588763,94.87179487179486
