layer,component,is_confirmatory,mean_probe_necessity,mean_neutralization_ratio,mean_neutral_mean_control,mean_matched_substitution,z_score_iso,p_value_iso,null_mu_iso,null_sig_iso,z_score_perp,p_value_perp,null_mu_perp,null_sig_perp,model_name,fdr_q_iso,fdr_sig_iso,fdr_q_perp,fdr_sig_perp
6,resid,False,0.007728226130568979,-3.1259565620138976,0.009056198309760186,0.008494242321744528,0.9795406882971087,0.23809523809523808,0.007186486197003484,0.0005530550594149262,0.7764632557050319,0.23809523809523808,0.007276748053774033,0.0005814545292101445,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
7,mlp,True,0.007208677907616113,-2.086889816602333,0.007828739306781993,0.007825291443585623,0.536953559196583,0.38095238095238093,0.006964994937972584,0.00045382503844120084,0.09083673842188841,0.42857142857142855,0.007172908304577438,0.0003937790332425133,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
7,attn,True,0.007882985872134122,-2.155542874815694,0.007921368036799652,0.008093798967683625,1.950590386364611,0.047619047619047616,0.007004757377518439,0.00045023727213814023,1.9158246313376128,0.09523809523809523,0.0069537667608866914,0.00048502305276170175,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
7,resid,True,0.007053088846036897,-0.8771135108976341,0.008354025254237528,0.007792536179183786,-0.3044604476986603,0.6666666666666666,0.007179257069741912,0.00041439938967011803,0.16373446988410892,0.38095238095238093,0.006965580024974029,0.0005344557021182317,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
8,mlp,False,0.006451871755864968,-1.9832671806621367,0.007284117118859196,0.006920295466578502,-0.7290128066978991,0.7142857142857143,0.006842809441543157,0.0005362562661264636,-1.1253142035540458,0.8571428571428571,0.007059575568324856,0.0005400303404512226,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.9863013698630136,False
8,attn,False,0.007657289524879583,-2.5784314114577165,0.007169200637334104,0.008486801488165512,2.157872620599059,0.09523809523809523,0.006736197296907121,0.00042685199264299147,1.1082844609275029,0.19047619047619047,0.007057977038873907,0.0005407569149748093,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
8,resid,False,0.006773939916954495,-1.380362920566991,0.00918170052599085,0.008207651259956343,-0.521071906505213,0.7619047619047619,0.0072067962133502625,0.0008307035765925282,-0.3035462955748146,0.6190476190476191,0.006956884005495795,0.0006026892477632302,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8666666666666667,False
9,mlp,False,0.0063197384681459344,-0.5618195478283554,0.010396490860215565,0.008204945631087071,-0.5263986823352266,0.7619047619047619,0.006641786793358371,0.0006117954622981881,-0.6786604197795129,0.7142857142857143,0.006690845610498557,0.0005468230230270244,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.9090909090909091,False
9,attn,False,0.00655942417006351,0.1157303243933779,0.007642297090720186,0.006420016334937979,-0.24878173563365022,0.7142857142857143,0.006681825099415346,0.0004920012678586715,-0.8044977624384815,0.8571428571428571,0.006928823417702805,0.00045916752648214224,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.9863013698630136,False
9,resid,False,0.007174418118510066,-1.8913250143872646,0.00947509174431179,0.009273327071885693,1.0445789935105032,0.14285714285714285,0.006727637274828574,0.0004277137932670857,0.42584631863920536,0.42857142857142855,0.006928088603402589,0.0005784469756475157,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
